Name,Status,Next Review,Last Review Date,Performance Score,Review Count,Category,Difficulty,URL
Contains Duplicate,todo,"October 15, 2025","September 7, 2025",5,5,Array,Easy,https://leetcode.com/problems/contains-duplicate/description/
Valid Anagram,todo,"October 7, 2025","September 7, 2025",4,5,HashTable,Easy,https://leetcode.com/problems/valid-anagram/submissions/1620707549/
Two Sum,todo,"March 29, 2026","January 31, 2026",5,6,HashTable,Easy,https://leetcode.com/problems/two-sum/
Group Anagrams,todo,"October 30, 2025","September 14, 2025",4,6,HashTable,Medium,https://leetcode.com/problems/group-anagrams/
Top K Frequent Elements,todo,"October 11, 2025","August 26, 2025",4,6,Array,Medium,https://leetcode.com/problems/top-k-frequent-elements/
Encode and Decode Strings,todo,"March 27, 2026","January 29, 2026",5,6,String,Medium,https://leetcode.com/problems/encode-and-decode-strings/description/
LRU Cache,todo,"October 23, 2025","September 2, 2025",3,7,LinkedList,Medium,https://leetcode.com/problems/lru-cache/description/
"Product of Array Except Self ",todo,"October 22, 2025","September 14, 2025",5,5,Array,Medium,https://leetcode.com/problems/product-of-array-except-self/description/
Range Sum Query - Immutable,todo,"November 11, 2025","September 26, 2025",4,6,Array,Easy,https://leetcode.com/problems/range-sum-query-immutable/
Find Pivot Index,todo,"October 15, 2025","September 7, 2025",5,5,Array,Easy,https://leetcode.com/problems/find-pivot-index/description/
Longest Consecutive Sequence,todo,"November 11, 2025","September 26, 2025",4,6,Array,Medium,https://leetcode.com/problems/longest-consecutive-sequence/description/
Valid Palindrome,todo,"November 11, 2025","September 26, 2025",4,6,Array,Easy,https://leetcode.com/problems/valid-palindrome/description/
Two Sum II - Input Array Is Sorted,todo,"April 25, 2026","March 18, 2026",5,5,Array,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/
Remove Duplicates from Sorted Array II,todo,"February 10, 2026","January 7, 2026",3,6,Array,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/
3Sum,redo,"October 10, 2025","September 17, 2025",2,6,Array,Medium,https://leetcode.com/problems/3sum/description/
Container with Most Water,todo,"November 3, 2025","September 26, 2025",5,5,Array,Medium,https://leetcode.com/problems/container-with-most-water/
